2.440000000e+00 -2.518856056e-04  1.548715978e-01 -1.824030275e-10
2.450000000e+00 -2.522396066e-04  1.548378169e-01 -1.988796650e-10
2.460000000e+00 -2.525992132e-04  1.548039034e-01 -1.936288199e-10
2.470000000e+00 -2.529616162e-04  1.547698511e-01 -1.966945707e-10
2.480000000e+00 -2.533226817e-04  1.547356577e-01 -2.010398756e-10
2.490000000e+00 -2.536927042e-04  1.547013294e-01 -1.924459937e-10
2.500000000e+00 -2.540545995e-04  1.546668647e-01 -1.861475049e-10
2.510000000e+00 -2.544252993e-04  1.546322504e-01 -1.896976815e-10
2.520000000e+00 -2.547977309e-04  1.545975027e-01 -1.980827018e-10
2.530000000e+00 -2.551810802e-04  1.545626177e-01 -1.922125911e-10
2.540000000e+00 -2.555468528e-04  1.545275946e-01 -2.100220651e-10
2.550000000e+00 -2.559337450e-04  1.544924329e-01 -1.933878686e-10
2.560000000e+00 -2.563038290e-04  1.544571301e-01 -2.018913479e-10
2.570000000e+00 -2.566837187e-04  1.544216855e-01 -1.970874816e-10
2.580000000e+00 -2.570776673e-04  1.543861141e-01 -1.948501782e-10
2.590000000e+00 -2.574653731e-04  1.543503958e-01 -1.989418017e-10
2.600000000e+00 -2.578412878e-04  1.543145380e-01 -2.059847127e-10
2.610000000e+00 -2.582238078e-04  1.542785437e-01 -2.005307113e-10
2.620000000e+00 -2.586167604e-04  1.542424143e-01 -1.898425738e-10
2.630000000e+00 -2.590084574e-04  1.542061423e-01 -2.035540356e-10
2.640000000e+00 -2.593909917e-04  1.541697391e-01 -2.111250838e-10
2.650000000e+00 -2.597835720e-04  1.541331883e-01 -2.087307936e-10
2.660000000e+00 -2.601934244e-04  1.540964999e-01 -2.059489804e-10
2.670000000e+00 -2.605789760e-04  1.540596787e-01 -1.984864440e-10
2.680000000e+00 -2.609814572e-04  1.540227110e-01 -2.087621593e-10
2.690000000e+00 -2.613832939e-04  1.539856044e-01 -1.946872371e-10
2.700000000e+00 -2.617875203e-04  1.539483616e-01 -2.004370038e-10
2.710000000e+00 -2.621970219e-04  1.539109802e-01 -1.955481496e-10
2.720000000e+00 -2.625972539e-04  1.538734603e-01 -1.948792966e-10
2.730000000e+00 -2.630005953e-04  1.538358059e-01 -2.007228086e-10
2.740000000e+00 -2.633966304e-04  1.537980058e-01 -2.142646783e-10
2.750000000e+00 -2.638060118e-04  1.537600686e-01 -1.988759968e-10
2.760000000e+00 -2.642226798e-04  1.537219977e-01 -1.931026369e-10
2.770000000e+00 -2.646305681e-04  1.536837837e-01 -1.951294616e-10
2.780000000e+00 -2.650508768e-04  1.536454283e-01 -2.086657434e-10
2.790000000e+00 -2.654668265e-04  1.536069358e-01 -2.048953875e-10
2.800000000e+00 -2.658801737e-04  1.535682988e-01 -2.070745399e-10
2.810000000e+00 -2.663054540e-04  1.535295293e-01 -2.028439752e-10
2.820000000e+00 -2.667210939e-04  1.534906161e-01 -2.171878466e-10
2.830000000e+00 -2.671534815e-04  1.534515694e-01 -2.153084836e-10
2.840000000e+00 -2.675756272e-04  1.534123870e-01 -2.151420437e-10
2.850000000e+00 -2.680015201e-04  1.533730542e-01 -2.048497845e-10
2.860000000e+00 -2.684277846e-04  1.533335828e-01 -2.024316699e-10
